categories,subgenres
Action/Adventure,"['Action', 'Adventure', 'Action/Adventure', 'Martial Arts Film', 'Action Thrillers', 'Fantasy Adventure', 'Superhero movie', 'Heist', 'Superhero', 'Action Comedy', 'Adventure Comedy', 'Swashbuckler films', 'Chase Movie', 'Costume Adventure', 'Wuxia', 'Auto racing', 'Escape Film', 'Samurai cinema', 'Sci-Fi Adventure', 'Sword and Sandal', 'Ninja movie', 'Movies About Gladiators', 'Prison escape', 'Outlaw', 'Road movie', 'Jungle Film', 'Buddy cop', 'Cavalry Film']"
Adaptation,"['Film adaptation', 'Remake', 'Live action', 'Reboot']"
Adult,"['Sex comedy', 'Erotica', 'Erotic thriller', 'Pornographic movie', 'Erotic Drama', 'Adult', 'Sexploitation', 'Gay pornography', 'Softcore Porn', 'Pornography', 'Statutory rape', 'Hardcore pornography', 'Pinku eiga', 'C-Movie']"
Animation,"['Animation', 'Anime', 'Computer Animation', 'Clay animation', 'Stop motion', 'Animated cartoon', 'Animated Musical', 'Supermarionation']"
Asian Movies,"['Bollywood', 'Filipino Movies', 'Chinese Movies', 'Japanese Movies', 'Wuxia', 'Samurai cinema', 'Filipino', 'Malayalam Cinema', 'Bengali Cinema', 'Pinku eiga', 'Tamil cinema', 'Tollywood', 'Tokusatsu']"
Children's/Family,"[""Children's/Family"", 'Family Film', ""Children's"", 'Family-Oriented Adventure', ""Children's Fantasy"", ""Children's Entertainment"", 'Animal Picture']"
Comedy,"['Comedy', 'Comedy film', 'Comedy-drama', 'Romantic comedy', 'Black comedy', 'Slapstick', 'Screwball comedy', 'Parody', 'Satire', 'Sex comedy', 'Comedy of manners', 'Fantasy Comedy', 'Crime Comedy', 'Domestic Comedy', 'Musical comedy', 'Horror Comedy', 'Action Comedy', 'Mockumentary', 'Workplace Comedy', 'Political satire', 'Comedy Thriller', 'Media Satire', 'Gross-out film', 'Gross out', 'Tragicomedy', 'Stand-up comedy', 'Heavenly Comedy', 'Comedy horror', 'Courtroom Comedy', 'Humour', 'Chick flick', 'Absurdism', 'Stoner film', 'Beach Film']"
Coming of age,"['Coming of age', 'Coming-of-age film']"
Crime,"['Crime Fiction', 'Crime Thriller', 'Film noir', 'Crime Drama', 'Detective', 'Detective fiction', 'Crime Comedy', 'Caper story', 'Gangster Film', 'Neo-noir', 'Whodunit', 'Law & Crime', 'Future noir', 'Juvenile Delinquency Film', 'Crime', 'Master Criminal Films', 'Giallo', 'Outlaw biker film', 'Outlaw']"
Culture & Society,"['Social issues', 'Social problem film', 'Culture & Society', 'Feminist Film', 'Gender Issues', ""Children's Issues"", 'British New Wave', 'Illnesses & Disabilities']"
Disaster/Dystopia,"['Disaster', 'Dystopia', 'Apocalyptic and post-apocalyptic fiction', 'Doomsday film', 'Alien invasion', 'Natural disaster', 'Plague']"
Drama,"['Comedy-drama', 'Drama', 'Romantic drama', 'Family Drama', 'Melodrama', 'Political drama', 'Film noir', 'Crime Drama', 'Costume drama', 'Period piece', 'Docudrama', 'Courtroom Drama', 'Historical drama', 'Musical Drama', 'Marriage Drama', 'Childhood Drama', 'Erotic Drama', 'Tragedy', 'Addiction Drama', 'Fantasy Drama', 'Space opera', 'Inspirational Drama', 'Legal drama', 'Kitchen sink realism', 'Chick flick', 'Slice of life story', 'Road movie', 'Kafkaesque', 'Medical fiction', 'Existentialism', 'Film Ã  clef', 'Natural disaster', 'Biker Film', 'Latino']"
Fantasy,"['Fantasy', ""Children's Fantasy"", 'Fantasy Comedy', 'Fantasy Adventure', 'Romantic fantasy', 'Fairy tale', 'Sword and sorcery films', 'Sword and sorcery', 'Mythological Fantasy', 'Fantasy Drama', 'Revisionist Fairy Tale', 'Time travel', 'Heaven-Can-Wait Fantasies']"
"Friendships, Family & Personal Relationships","['Family & Personal Relationships', 'Buddy film', 'Buddy Picture', 'Interpersonal Relationships', 'Female buddy film']"
Historical,"['Historical fiction', 'Period piece', 'Epic', 'Historical drama', 'Historical Epic', 'Sword and Sandal', 'Period Horror', 'Movies About Gladiators', 'British New Wave', 'Kitchen sink realism', 'British Empire Film']"
Holiday Film,"['Holiday Film', 'Christmas movie']"
Horror,"['Horror', 'Slasher', 'Horror Comedy', 'Natural horror films', 'Sci-Fi Horror', 'Costume Horror', 'Splatter film', 'Road-Horror', 'Comedy horror', 'Period Horror', 'Psycho-biddy', 'Demonic child', 'Gothic Film']"
Indie,['Indie']
LGBT,"['LGBT', 'Gay Themed', 'Gay', 'Gay Interest', 'Gay pornography']"
Music/Dance,"['Musical', 'Music', 'Musical comedy', 'Musical Drama', 'Concert film', 'Dance', 'Animated Musical', 'Hip hop movies', 'Backstage Musical', 'Breakdance', 'Therimin music', 'Jukebox musical', 'Instrumental Music', 'Singing cowboy', 'Punk rock', 'Operetta', 'Film-Opera']"
Mystery/Suspense,"['Suspense', 'Mystery', 'Detective', 'Detective fiction']"
Non-fiction/Educational,"['Documentary', 'Biographical film', 'Biography', 'History', 'Biopic [feature],', 'Docudrama', 'Rockumentary', 'Hagiography', 'Historical Documentaries', 'Political Documetary', 'Film & Television History', 'Environmental Science', 'Media Studies', 'Educational', 'Finance & Investing', 'Anthropology', 'Language & Literature', 'Health & Fitness', 'Journalism', 'News', 'Business', 'Education', 'Graphic & Applied Arts', 'Travel', 'World History', 'Archaeology', 'Mondo film', 'Inventions & Innovations', 'Animals', 'Illnesses & Disabilities']"
Old-fashioned/classical style,"['Black-and-white', 'Silent film', 'Goat gland', 'Pre-Code']"
Political,"['Political cinema', 'Political drama', 'Political satire', 'Political Documetary', 'Political thriller', 'Propaganda film']"
Prison,"['Prison', 'Prison film', 'Women in prison films', 'Prison escape']"
Religious Film,"['Religious Film', 'Christian film', 'Hagiography']"
Romance,"['Romance Film', 'Romantic drama', 'Romantic comedy', 'Comedy of Errors', 'Adventure Comedy', 'Romantic fantasy', 'Chick flick']"
Science Fiction,"['Science Fiction', 'Sci-Fi Horror', 'Alien Film', 'Sci-Fi Adventure', 'Sci-Fi Thriller', 'Science fiction Western', 'Sci Fi Pictures original films', 'Space opera', 'Star vehicle', 'Computers', 'Cyberpunk', 'Steampunk', 'Time travel']"
Short Film,['Short Film']
Sports,"['Sports', 'Boxing', 'Extreme Sports', 'Baseball', 'Horse racing', 'Parkour in popular culture']"
Spy,"['Spy', 'Glamorized Spy Film']"
Supernatural/Monster,"['Supernatural', 'Creature Film', 'Zombie Film', 'Monster movie', 'Monster', 'Haunted House Film', 'Werewolf fiction', 'Z movie', 'Vampire movies']"
Teen,"['Teen', 'School story']"
Thriller,"['Crime Thriller', 'Thriller', 'Psychological thriller', 'Action Thrillers', 'Political thriller', 'Erotic thriller', 'Comedy Thriller', 'Giallo', 'Sci-Fi Thriller', 'Conspiracy fiction']"
Unconventional,"['Experimental film', 'Avant-garde', 'Dogme 95', 'Bloopers & Candid Camera', 'Fan film', 'Expressionism', 'Anthology', 'Point of view shot', 'Filmed Play', 'Essay Film', 'Roadshow theatrical release', 'Archives and records', 'Czechoslovak New Wave', 'Art film', 'Pre-Code', 'New Hollywood', 'Surrealism', 'Mumblecore', 'B-movie', 'Camp']"
War/combat,"['War film', 'Combat Films', 'Anti-war', 'Anti-war film', 'Gulf War', 'Cold War', 'Foreign legion', 'Private military company', 'Nuclear warfare', 'Patriotic film']"
Western,"['Western', 'Spaghetti Western', 'B-Western', 'Revisionist Western', 'Comedy Western', 'Hybrid Western', 'Epic Western', 'Indian Western', 'Space western', 'Science fiction Western', 'Acid western', 'Singing cowboy', 'Northern']"
World cinema,['World cinema']
Other,"['Film', 'Television movie', 'Ensemble Film', 'Cult', 'Americana', 'Feature film', 'Fictional film', 'Airplanes and airports', 'Nature', 'Movie serial', 'Libraries and librarians', 'Blaxploitation', 'Albino bias', 'Exploitation', 'Race movie']"
